20.0%; ; ; ;VSM; ; ; ; ;LSI; ; ; ; ;JS;
 ; ;ap;map;p-value;cliff;rate;ap;map;p-value;cliff;rate;ap;map;p-value;cliff;rate
iTrust;IR;40.92;55.73;6.07538035706241E-7;0.26;_;39.96;54.31;4.968330938337003E-8;0.28;_;36.91;55.34;7.127522279499824E-7;0.25;_
iTrust;UD;43.59;57.73;4.4833959435326644E-4;0.18;_;43.32;57.50;9.62271523840473E-4;0.17;_;42.82;61.59;0.03723289652617064;0.11;_
iTrust;CLUSTER;52.29;63.10;_;_;0.0579;51.46;62.06;_;_;0.0579;48.01;62.46;_;_;0.0603
Maven;IR;26.62;43.26;0.3469184978341273;0.07;_;26.53;43.22;0.32692515279683876;0.08;_;23.97;45.87;0.020073955698969675;0.18;_
Maven;UD;27.63;43.75;0.840759016848958;0.02;_;27.63;43.89;0.8149525065971884;0.02;_;25.80;47.13;0.2254511279002872;0.10;_
Maven;CLUSTER;28.05;42.42;_;_;0.0383;28.17;42.21;_;_;0.0379;28.63;44.81;_;_;0.1444
Infinispan;IR;8.02;23.80;6.282961262877115E-5;0.12;_;7.22;23.69;7.690304869600316E-4;0.10;_;5.91;23.42;2.639914235253341E-4;0.11;_
Infinispan;UD;8.59;24.16;0.02788245580733519;0.07;_;8.46;24.50;0.4273540768500268;-0.02;_;6.51;24.08;0.3295748807612987;0.03;_
Infinispan;CLUSTER;9.13;23.76;_;_;0.0368;8.26;23.27;_;_;0.0376;6.90;22.85;_;_;0.0369
